row_number,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,section,in_person_classes,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
112,24,Returning UNC Student,No,Business,No,STOR 113,None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,7,1,1,7,6,1,6,6,6,4,,,6,6,6,4,6,7,5
113,24,Returning UNC Student,No,Business,Yes,"MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,10+ hours,2,4,3,7,2,1,7,3,4,6,2,,7,7,7,3,4,7,5
114,23,Returning UNC Student,No,Business,No,"MATH 231, MATH 232, STOR 113, STOR 155",7-12 months,No,No,On-line course,2-6 months,"Python, Java / C#, C / C++",Remote,Yes,5 to 10 hours,5 to 10 hours,6,3,4,6,7,1,7,7,7,7,6,,,4,3,6,7,7,7
115,24,Returning UNC Student,No,Business,Maybe,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,4,5,4,5,5,0,6,6,6,6,,,6,6,5,5,4,6,5
116,24,Returning UNC Student,No,Business,Yes,"MATH 152, STOR 155",2-6 months,Yes,No,None,None to less than one month!,None,In-Person,,3 to 5 hours,3 to 5 hours,3,2,1,7,4,2,5,4,5,3,7,6,7,6,6,3,4,7,6
117,24,Incoming Transfer Student,Yes - BA,Business,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,,Yes,0 to 2 hours,3 to 5 hours,6,4,3,5,2,1,5,5,5,5,,,7,7,2,5,6,7,5
118,24,Returning UNC Student,No,Business,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,3 to 5 hours,5,5,5,7,5,0,6,6,6,6,5,,,5,3,6,7,7,7
119,24,Returning UNC Student,No,Business,Maybe,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 120, STOR 155",2-6 months,No,No,UNC,None to less than one month!,Python,In-Person,,0 to 2 hours,5 to 10 hours,5,1,1,7,6,1,6,5,7,5,5,,7,4,5,6,6,7,5
120,25,Incoming First-year Student,Yes - Minor,Business,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 151",7-12 months,No,Yes,High school course (IB or other),1 month or so,"Python, Java / C#",Remote,Yes,0 to 2 hours,5 to 10 hours,7,7,7,6,4,0,6,4,7,4,6,6,6,4,4,5,5,7,7
121,24,Returning UNC Student,No,Business,Yes,"MATH 129P, STOR 113, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,10+ hours,4,6,6,6,3,5,4,2,4,5,3,5,3,7,7,1,7,7,5
122,24,Sophomore but first year on campus.,No,Business,No,MATH 152,None to less than one month!,,,,,,In-Person,,0 to 2 hours,5 to 10 hours,2,2,3,5,2,4,6,3,4,2,7,,5,7,6,2,6,6,3
123,24,Returning UNC Student,Yes - Minor,Chemistry,Yes,"MATH 130, MATH 231",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,6,2,6,5,1,5,6,5,7,5,6,6,5,6,5,5,6,7
124,21,Returning UNC Student,No,Chemistry,No,"MATH 231, MATH 232, MATH 233, MATH 347 for Applications, MATH 381",2-6 months,No,No,UNC,1 month or so,"Python, C / C++",In-Person,,5 to 10 hours,3 to 5 hours,6,5,7,5,5,0,5,5,7,4,1,1,1,3,2,6,6,7,7
125,22,Returning UNC Student,No,Chemistry,Yes,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
126,22,Returning UNC Student,No,Chemistry,No,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347 for Applications, MATH 381, STOR 155",None to less than one month!,,,,,,In-Person,,0 to 2 hours,None,7,7,7,7,7,5,6,2,7,7,7,7,7,7,5,4,2,7,1
127,24,Returning UNC Student,No,Chemistry,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231",None to less than one month!,,,,,,In-Person,,5 to 10 hours,10+ hours,6,6,6,7,6,5,4,2,6,5,7,4,4,6,7,6,7,7,5
128,23,Returning UNC Student,No,Communications,No,STOR 155,None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,5,2,2,7,4,1,5,4,5,5,,,7,5,6,4,3,4,4
129,23,Incoming Transfer Student,No,Communications,No,"MATH 130, MATH 152",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,3,1,7,4,2,6,6,3,5,6,6,,6,7,4,7,5,4
130,21,Returning UNC Student,No,Communications,No,MATH 231,None to less than one month!,,,,,,In-Person,,5 to 10 hours,0 to 2 hours,4,4,3,6,3,4,2,5,5,3,5,4,5,3,6,6,4,4,4
0,24,Returning UNC Student,Yes - BA,Computer Science,Maybe,"MATH 231, MATH 232, STOR 120",2-6 months,No,No,UNC,None to less than one month!,Python,Remote,No,3 to 5 hours,3 to 5 hours,6,6,3,5,3,2,7,7,7,7,5,5,7,4,4,6,7,7,7
2,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,,Yes,10+ hours,5 to 10 hours,2,7,7,6,2,2,6,1,7,7,2,4,3,7,7,1,7,7,7
3,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232",1-2 years,Yes,Yes,ap,None to less than one month!,visual basic,Remote,Yes,5 to 10 hours,5 to 10 hours,1,1,1,3,3,0,7,3,6,6,,,5,4,3,5,3,7,7
4,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,,Yes,3 to 5 hours,3 to 5 hours,3,4,3,7,5,1,7,7,7,7,7,,7,4,4,5,7,7,7
5,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233, MATH 347 for Applications, STOR 155",2-6 months,No,No,Another college or community college,2-6 months,"Python, Java / C#, R / Matlab / SAS",Remote,Yes,3 to 5 hours,10+ hours,7,7,7,7,7,5,7,7,7,7,7,7,7,7,3,6,6,7,7
6,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",None to less than one month!,,,,,,,Yes,3 to 5 hours,5 to 10 hours,5,5,5,2,2,1,3,5,7,7,,,6,7,6,3,6,7,6
7,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,,Yes,3 to 5 hours,5 to 10 hours,6,4,2,6,4,0,6,4,6,4,,,6,4,4,6,6,6,6
8,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 129P,2-6 months,No,No,On-line course,1 month or so,Python,Remote,Yes,3 to 5 hours,5 to 10 hours,6,2,4,6,7,1,7,4,7,6,7,,7,5,4,7,7,7,7
9,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231",1-2 years,Yes,No,On-line course,2-6 months,"Python, HTML / CSS, Thinkscript",Remote,Yes,0 to 2 hours,5 to 10 hours,7,7,6,6,6,3,7,7,7,6,7,6,5,6,3,7,7,7,7
10,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,,Yes,3 to 5 hours,5 to 10 hours,2,1,1,3,7,1,7,6,7,6,,,4,4,3,6,7,7,7
11,24,Incoming Transfer Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232",2-6 months,No,No,On-line course,1 month or so,"Python, C / C++",Remote,Yes,0 to 2 hours,5 to 10 hours,3,3,3,7,7,4,6,6,6,6,,,5,5,4,4,6,6,6
12,24,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 130,2-6 months,Yes,No,High school course (IB or other),None to less than one month!,JavaScript / TypeScript,Remote,Yes,0 to 2 hours,3 to 5 hours,5,5,5,6,4,2,5,5,6,5,,,6,5,4,5,5,6,5
13,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,0 to 2 hours,5,4,3,5,5,0,6,4,7,6,,,,5,4,5,7,7,7
14,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 231,Over 2 years,No,Yes,On-line course,> 2 years,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS",Remote,Yes,0 to 2 hours,3 to 5 hours,6,2,5,5,6,0,6,6,6,5,,,6,4,3,6,6,7,7
15,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,2,1,1,4,5,2,4,1,6,4,2,,5,4,7,5,5,7,4
16,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347 for Applications",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, C / C++",Remote,Yes,3 to 5 hours,3 to 5 hours,6,4,4,7,6,0,7,7,7,7,,,7,5,4,6,6,6,7
17,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",2-6 months,Yes,Yes,N/A,1 month or so,"Python, Java / C#, JavaScript / TypeScript",Remote,Yes,3 to 5 hours,5 to 10 hours,7,5,5,7,5,1,4,6,7,5,3,,7,5,4,5,6,7,7
18,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,MATH 231,2-6 months,No,Yes,On-line course,1 month or so,"Python, Java / C#",Remote,Yes,0 to 2 hours,3 to 5 hours,7,7,7,7,6,2,7,4,7,7,7,7,5,4,5,5,6,7,5
19,24,Incoming Transfer Student,Yes - BA,Computer Science,Maybe,MATH 231,2-6 months,No,No,"I guess ""my little brother took AP CS and taught it to me"" would be the best descriptor of my experience.",2-6 months,"Python, Java / C#, JavaScript / TypeScript, Go, SQL",Remote,Yes,3 to 5 hours,3 to 5 hours,1,4,1,5,6,0,6,4,6,5,,,,3,2,7,6,7,7
20,24,Returning UNC Student,Yes - BA,Computer Science,Yes,"MATH 129P, MATH 130, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,4,7,7,2,3,4,5,6,5,5,6,4,6,5,6,3,7,7,6
21,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,5,3,4,2,5,0,6,6,6,3,,,5,6,5,4,7,7,5
22,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,STOR 151,None to less than one month!,,,,,,Remote,Yes,0 to 2 hours,3 to 5 hours,7,7,7,7,4,3,6,7,6,6,7,6,7,6,6,3,7,7,6
23,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,2,5,5,5,4,0,6,5,6,5,5,4,4,5,4,5,5,5,7
24,24,Incoming Transfer Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 381, STOR 155",7-12 months,No,No,Another college or community college,None to less than one month!,"Python, Java / C#, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",Remote,Yes,3 to 5 hours,5 to 10 hours,5,1,1,5,4,0,5,2,7,3,,,,6,1,6,7,7,6
25,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,2,1,1,4,6,0,6,5,7,5,,,6,4,3,6,7,7,7
26,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 130, MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,No,Yes,no,1 month or so,"Python, Java / C#, C / C++",Remote,Yes,3 to 5 hours,5 to 10 hours,3,4,3,7,5,1,5,6,5,7,5,,6,5,4,5,7,7,7
27,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232",7-12 months,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",Remote,Yes,5 to 10 hours,0 to 2 hours,3,1,1,6,2,0,7,5,6,3,,,,6,4,6,6,7,7
28,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 210, MATH 231, MATH 232, STOR 155",1-2 years,Yes,No,High school course (IB or other),None to less than one month!,"Python, C / C++, JavaScript / TypeScript, HTML / CSS",Remote,Yes,5 to 10 hours,3 to 5 hours,3,3,4,5,5,0,6,6,7,6,,,,2,2,7,7,7,7
29,24,Returning UNC Student,Yes - BA,Computer Science,Maybe,"MATH 130, MATH 210",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,3 to 5 hours,6,7,6,6,5,0,7,6,7,7,5,4,7,7,4,5,7,7,7
30,24,Returning UNC Student,Yes - BA,Computer Science,Maybe,"MATH 130, MATH 231",7-12 months,Yes,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",Remote,Yes,3 to 5 hours,3 to 5 hours,5,2,2,3,6,1,5,6,7,4,,,,3,1,7,6,7,7
31,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, Java / C#",Remote,Yes,3 to 5 hours,5 to 10 hours,4,3,2,4,5,0,7,5,7,5,5,5,4,4,4,6,6,7,6
32,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,7,4,4,4,5,1,6,7,7,7,,,7,5,6,6,7,7,7
33,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, STOR 120, STOR 151",2-6 months,No,No,On-line course,2-6 months,Python,Remote,Yes,5 to 10 hours,3 to 5 hours,2,5,4,7,5,2,7,7,7,4,7,4,7,5,5,6,7,7,7
34,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",2-6 months,Yes,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, HTML / CSS",Remote,Yes,3 to 5 hours,3 to 5 hours,5,6,4,6,5,2,6,6,6,5,5,5,5,4,3,6,6,6,7
35,25,Current first year student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",7-12 months,No,Yes,High school course (IB or other),1 month or so,"Python, Java / C#",In-Person,,,,7,3,4,7,7,2,7,7,7,6,7,,,3,3,7,7,7,7
36,24,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 130, MATH 231",Over 2 years,Yes,Yes,On-line course,1-2 years,"Python, Java / C#, C / C++, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",In-Person,,,,1,4,3,7,6,0,5,3,6,2,,,,5,3,6,7,7,6
37,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,Yes,Yes,none,1 month or so,"Python, Java / C#, HTML / CSS",In-Person,,,,5,2,2,3,5,0,4,3,7,5,,,,4,3,6,5,5,6
38,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,7,5,5,7,7,0,6,7,7,7,,,,6,2,7,7,7,7
39,25,Incoming First-year Student,Yes - BA,Computer Science,Yes,"MATH 129P, MATH 231",2-6 months,No,Yes,On-line course,2-6 months,"Python, Java / C#, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,7,4,2,7,6,0,7,7,7,6,,,,5,4,5,7,7,7
40,25,Incoming Transfer Student,Yes - BA,Computer Science,Maybe,"MATH 130, MATH 231",Over 2 years,No,No,High school course (IB or other),> 2 years,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, SQL, Bash",In-Person,,5 to 10 hours,3 to 5 hours,7,4,3,3,7,0,3,4,7,1,4,4,4,4,2,6,7,7,5
41,24,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,On-line course,2-6 months,"Python, JavaScript / TypeScript, HTML / CSS, GDScript",In-Person,,5 to 10 hours,5 to 10 hours,2,1,2,1,6,0,6,5,7,5,,,,4,2,7,7,7,7
42,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,Yes,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, JavaScript / TypeScript",In-Person,,3 to 5 hours,5 to 10 hours,4,4,5,6,2,0,5,5,7,7,,,,3,1,7,7,7,7
43,24,Returning UNC Student,Yes - BA,Computer Science,Yes,"MATH 129P, MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,No,No,none,1 month or so,"Python, Java / C#",In-Person,,5 to 10 hours,5 to 10 hours,4,1,1,4,4,1,5,3,5,2,5,,4,5,4,3,6,7,5
44,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 155",1-2 years,No,Yes,On-line course,2-6 months,"Python, Java / C#, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,5,1,1,5,5,1,7,6,6,5,,6,5,6,4,5,5,6,6
45,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231",Over 2 years,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",In-Person,,5 to 10 hours,5 to 10 hours,7,1,3,7,5,0,6,3,7,6,4,4,6,4,3,6,6,7,6
46,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231",7-12 months,No,No,High school course (IB or other),2-6 months,"Python, Java / C#, BASIC",In-Person,,3 to 5 hours,5 to 10 hours,7,2,1,7,5,0,6,2,7,1,,,5,5,3,7,7,7,6
47,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",2-6 months,No,No,High school course (IB or other),2-6 months,Python,In-Person,,0 to 2 hours,5 to 10 hours,6,5,4,6,3,1,3,4,6,5,5,4,5,5,4,5,7,7,6
48,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,In-Person,,5 to 10 hours,5 to 10 hours,5,4,3,5,3,1,6,5,7,6,4,4,7,4,5,4,5,7,7
49,25,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 129P, STOR 151",2-6 months,Yes,Yes,UNC,None to less than one month!,"Python, Java / C#",In-Person,,0 to 2 hours,3 to 5 hours,6,3,2,7,3,1,6,5,7,7,7,4,3,5,2,6,7,7,7
50,23,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 231, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,5,1,1,6,6,2,7,7,6,6,6,6,7,4,5,5,5,7,7
51,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231",2-6 months,No,No,NCSSM Online,1 month or so,"Python, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",In-Person,,3 to 5 hours,3 to 5 hours,5,1,2,7,6,0,7,6,7,5,,,6,4,3,7,7,7,7
52,24,Returning UNC Student,Yes - BS,Computer Science,Yes,"MATH 130, STOR 155",2-6 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS",In-Person,,3 to 5 hours,0 to 2 hours,1,5,3,7,3,1,6,3,7,6,,,,5,3,5,7,7,5
53,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 231,None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,6,2,2,7,4,1,3,3,7,6,7,7,7,7,6,5,7,7,5
54,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, STOR 155",2-6 months,Yes,No,On-line course,None to less than one month!,"Python, HTML / CSS",In-Person,,3 to 5 hours,5 to 10 hours,3,5,5,4,4,0,5,5,6,6,,,6,7,5,3,6,6,6
55,24,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130",2-6 months,No,No,UNC,2-6 months,"Python, HTML / CSS",In-Person,,10+ hours,10+ hours,7,4,4,4,3,1,6,5,7,6,7,7,7,5,4,6,7,7,7
56,23,Incoming Junior,Yes - BS,Computer Science,No,"MATH 129P, MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,Yes,Yes,High school course (IB or other),2-6 months,"Python, Java / C#, R / Matlab / SAS, HTML / CSS, SQL",In-Person,,5 to 10 hours,3 to 5 hours,5,4,3,3,5,0,6,5,7,5,,,,2,2,5,7,7,6
57,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 130, MATH 231",1-2 years,Yes,No,High school course (IB or other),1 month or so,"Python, HTML / CSS",In-Person,,5 to 10 hours,3 to 5 hours,2,3,4,3,4,0,6,3,3,6,,,5,7,3,5,7,7,6
58,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233, MATH 347 for Applications",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,7,1,1,7,7,2,7,5,7,7,7,4,6,4,4,5,7,7,7
59,24,Returning UNC Student,Yes - BS,Computer Science,No,MATH 231,7-12 months,No,No,High school course (IB or other),None to less than one month!,Python,In-Person,,3 to 5 hours,5 to 10 hours,1,2,1,6,3,0,6,5,7,7,4,4,,4,2,7,7,7,7
60,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 129P,None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,6,7,7,4,1,0,6,5,6,2,2,,3,6,7,3,3,5,5
61,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, MATH 347 for Applications",7-12 months,Yes,Yes,Another college or community college,2-6 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",In-Person,,0 to 2 hours,3 to 5 hours,7,4,4,5,6,0,7,7,7,7,7,7,7,4,1,7,7,7,7
62,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,In-Person,,3 to 5 hours,5 to 10 hours,5,7,7,7,4,1,7,6,7,7,7,,7,4,3,7,7,7,7
63,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233",7-12 months,Yes,Yes,On-line course,2-6 months,Java / C#,In-Person,,3 to 5 hours,3 to 5 hours,5,3,2,4,5,0,5,4,6,6,4,4,4,5,4,7,6,7,7
64,24,Incoming Transfer Student,Yes - BS,Computer Science,No,"MATH 231, MATH 233, PHIL 155",2-6 months,No,No,Another college or community college,None to less than one month!,"Python, C / C++, JavaScript / TypeScript, SQL",In-Person,,5 to 10 hours,0 to 2 hours,7,1,1,1,7,0,7,7,7,7,7,7,7,1,1,7,5,4,2
65,24,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232",2-6 months,No,No,"No, but I took an Intro to Python Course in high school",None to less than one month!,"Python, HTML / CSS",Remote,Yes,0 to 2 hours,5 to 10 hours,5,3,3,5,6,0,4,5,6,5,,,6,5,5,6,6,6,7
66,24,Incoming Transfer Student,Yes - BA,Computer Science,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, STOR 155",7-12 months,No,No,Another college or community college,7-12 months,"Python, JavaScript / TypeScript, HTML / CSS",Remote,Yes,0 to 2 hours,3 to 5 hours,6,5,4,7,6,1,5,6,7,6,3,,5,1,1,6,7,7,7
67,24,Incoming Transfer Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232",None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,4,2,6,3,1,3,5,4,3,5,5,7,6,6,3,6,7,6
68,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 129P,None to less than one month!,,,,,,Remote,Yes,10+ hours,5 to 10 hours,4,7,7,4,5,2,6,4,5,1,,,,7,6,3,5,6,5
69,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,Remote,Yes,5 to 10 hours,3 to 5 hours,6,2,2,4,3,0,6,6,6,6,,,6,4,5,5,6,7,7
70,25,Current first-year,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233, STOR 155",Over 2 years,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, C / C++",Remote,Yes,0 to 2 hours,5 to 10 hours,1,7,7,7,5,0,6,6,7,5,6,,,7,4,5,7,7,7
71,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 113, STOR 151, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, HTML / CSS, SQL, Bash",Remote,Yes,3 to 5 hours,5 to 10 hours,2,4,5,2,6,0,5,5,6,5,,,,2,1,7,7,7,7
72,24,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,Python,In-Person,,0 to 2 hours,3 to 5 hours,6,7,7,7,6,4,7,6,6,5,6,7,6,5,5,6,7,7,7
73,24,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,Remote,Yes,3 to 5 hours,5 to 10 hours,1,3,2,5,3,1,7,4,7,6,,,,5,4,4,7,7,7
74,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 231, STOR 155",2-6 months,No,No,"very introductory, easy, simple python class at my high school which this class covered more than on day 1.",1 month or so,"Python, JavaScript / TypeScript, HTML / CSS",Remote,Yes,10+ hours,3 to 5 hours,6,5,6,7,3,3,4,4,7,7,5,6,6,6,4,4,7,7,6
75,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232",Over 2 years,No,No,High school course (IB or other),> 2 years,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS, SQL",Remote,Yes,5 to 10 hours,5 to 10 hours,6,5,3,4,7,0,5,2,5,3,,,,2,2,7,4,5,5
76,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",1-2 years,No,Yes,No,1 month or so,"Python, Java / C#",Remote,No,3 to 5 hours,0 to 2 hours,6,6,6,5,7,3,7,7,7,6,4,7,,4,4,5,4,7,6
77,24,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 231",None to less than one month!,,,,,,In-Person,,10+ hours,5 to 10 hours,3,5,4,3,6,0,4,6,6,6,6,6,6,6,5,4,5,7,6
78,24,Returning UNC Student,Yes - BA,Computer Science,No,STOR 155,None to less than one month!,,,,,,In-Person,,3 to 5 hours,3 to 5 hours,6,5,6,7,5,2,1,3,7,7,4,4,4,5,3,5,7,7,7
